,l,ls,epi,smt,para
0,0.9047389257241208,3.767208450402497e-05,0,1,5
1,0.5074641158575501,0.00013691186423716472,0,2,4
2,0.902653278317927,7.353661752924247e-05,1,1,5
3,0.5051040329250117,0.00011210400703993169,1,2,4
4,0.7138596372697155,9.888306030157658e-05,2,1,5
5,0.5040119405820307,8.167403190223083e-05,2,2,4
6,0.5083484646368234,0.0002582555066182777,3,1,5
7,0.5050018265587516,0.00015789396407430415,3,2,4
8,0.7132721672067914,5.628567469769643e-05,4,1,5
9,0.5065687034545572,0.00032616914710639934,4,2,4
10,0.8071918572590477,4.4249417005270087e-05,5,1,5
11,0.5054708759924522,0.0001135112845356956,5,2,4
12,0.903152843326743,2.976294715917163e-05,6,1,5
13,0.5073611601453379,7.622169977738383e-05,6,2,4
14,0.9044211249246219,4.014943239938228e-05,7,1,5
15,0.5064680925612208,9.326277062537501e-05,7,2,4
16,0.7127717154302926,6.836664286623201e-05,8,1,5
17,0.5088616576416278,0.0003137677539316042,8,2,4
18,0.9036455125375874,4.186460855072729e-05,9,1,5
19,0.5038987119870073,0.00013573225259843556,9,2,4
20,0.5087023283805578,0.00019086623558825836,10,1,5
21,0.5056518884723814,5.779519486284763e-05,10,2,4
22,0.9028986844036317,3.784664633458208e-05,11,1,5
23,0.5069523057039725,0.00021040450753292332,11,2,4
24,0.9048147623953593,4.157652658179125e-05,12,1,5
25,0.508908889903751,0.00016800535099224237,12,2,4
26,0.505378651749436,0.00016263358838481383,13,1,5
27,0.5064278424931283,0.00017303196725217585,13,2,4
28,0.6176553853140667,6.140129907324183e-05,14,1,5
29,0.6167294015162663,0.0001152382084703886,14,2,4
30,0.9040931805948748,4.3453164428373416e-05,15,1,5
31,0.5094343478096327,0.00010667428284572983,15,2,4
32,0.8087064320980006,0.00013342977819839395,16,1,5
33,0.6181667935213191,0.00012586461782980595,16,2,4
34,0.711091085498781,6.649195013420143e-05,17,1,5
35,0.714015251819712,5.299491373101269e-05,17,2,4
36,0.508844622223283,8.876471349848919e-05,18,1,5
37,0.5007842633752055,9.58339951293824e-05,18,2,4
38,0.713145431562064,0.00019277297213671397,19,1,5
39,0.5067263712758412,0.00012669215441433893,19,2,4
40,0.9020199135740692,0.00012276223504655525,20,1,5
