,l,ls,epi,smt,para
0,0.8562712771410305,8.74810506872252e-05,0,1,1
1,0.7145133324664726,0.00021347734954183268,0,2,2
2,0.8554130881415996,9.356065788667468e-05,1,1,1
3,0.7114978390443094,0.00015743909168380404,1,2,2
4,0.8571679435751766,0.00014529398790811356,2,1,1
5,0.7113519511860867,0.00012867942245721966,2,2,2
6,0.8576662543568818,0.00015648928503263614,3,1,1
7,0.7105836607564785,0.0001715406719879324,3,2,2
8,0.8567408843772116,8.720319887171373e-05,4,1,1
9,0.7153873113953773,0.00025036056467638175,4,2,2
10,0.8561178568847734,0.00010217639324890252,5,1,1
11,0.7137666085401121,0.00019439969677661684,5,2,2
12,0.8558190705668569,7.627196164425563e-05,6,1,1
13,0.7141968826266408,0.0001182857988314547,6,2,2
14,0.8553771511655386,6.443787377806487e-05,7,1,1
15,0.7151966856744851,0.0001422351736922078,7,2,2
16,0.8559682803669401,8.467475171305332e-05,8,1,1
17,0.7119759287122936,0.00018955513432007402,8,2,2
18,0.8539300195739054,0.00014534110125516298,9,1,1
19,0.7123436638077955,0.00010180652885993774,9,2,2
20,0.7132488619529702,0.0001164747807613575,0,3,3
21,0.9048886150294101,7.42473478599758e-05,0,4,4
22,0.9047533036462809,7.597898100752036e-05,1,3,3
23,0.9035323565134837,4.209024832103869e-05,1,4,4
24,0.7104375208504866,0.00028059351676648956,2,3,3
25,0.9032641328711536,6.833712168273754e-05,2,4,4
26,0.5700288736393063,0.00021600983125297482,3,3,3
27,0.806226240751023,0.00010432497099957193,3,4,4
28,0.7102121459961116,9.182941547225327e-05,4,3,3
29,0.9026518402742005,0.00013811683420834593,4,4,4
30,0.5680762260667092,0.00041689251885254196,5,3,3
31,0.9034376513568436,4.371917513605127e-05,5,4,4
32,0.5711546030501343,0.00010187671910318094,6,3,3
33,0.9032989456216335,0.00015693614422306615,6,4,4
34,0.7127072052053647,0.0001712289717452749,7,3,3
35,0.810309657774757,0.00011220605334211956,7,4,4
36,0.5684490551136606,0.00013861796209913488,8,3,3
37,0.9051205417874746,4.168832399444328e-05,8,4,4
38,0.5669783954921963,0.00026486698566486363,9,3,3
39,0.9039747590600615,9.103850355423603e-05,9,4,4
40,0.9026054735854179,9.126871693166873e-05,0,5,5
41,0.904088209968799,0.00010181587684948086,0,6,6
42,0.7141238612315635,0.00020267173121739178,1,5,5
43,0.8066902635589549,0.00018184679066352152,1,6,6
44,0.6163779771301667,0.0001343721687134774,2,5,5
45,0.5081822149860384,0.00028124449508624456,2,6,6
46,0.9039340525313698,0.00012264383497367074,3,5,5
47,0.8093762054120628,0.00022250855972949664,3,6,6
48,0.8083655071575153,8.504207614766369e-05,4,5,5
49,0.9036051179422188,7.913921453655908e-05,4,6,6
50,0.9039464010421763,7.914580092240881e-05,5,5,5
51,0.9042111425463287,0.00010311756231302052,5,6,6
52,0.903373679499694,4.606747334537759e-05,6,5,5
53,0.9048998200826407,9.160220739414966e-05,6,6,6
54,0.501202923159088,0.0002677921782115683,7,5,5
55,0.9028570211440464,3.774705206986064e-05,7,6,6
56,0.5080824181622394,0.00031372828195389506,8,5,5
57,0.9036647068881134,0.00012501121807630616,8,6,6
58,0.714846902573836,6.71352202853681e-05,9,5,5
59,0.7112674165193681,0.00018428272007070908,9,6,6
60,0.9038055197318349,0.0001553058348990093,0,7,7
61,0.5116917899874261,0.00045974379534093453,0,8,8
62,0.7121000641346377,0.00017213748754864883,1,7,7
63,0.9035598914158655,0.00014526832589133745,1,8,8
64,0.8080276786630775,0.0001192975578097494,2,7,7
65,0.5037049112107663,0.0003727556058378108,2,8,8
66,0.8077986128622343,0.00015206073417989904,3,7,7
67,0.9031237159456145,7.782978390087155e-05,3,8,8
68,0.507075203202765,0.0005181026073739143,4,7,7
69,0.9036937563496426,6.54989978255141e-05,4,8,8
70,0.5060549690263757,0.00012225052910748853,5,7,7
71,0.5142168013489603,0.0002570758498474094,5,8,8
72,0.8073935054678606,0.00011413589333930175,6,7,7
73,0.9031176258940382,5.933261756063509e-05,6,8,8
74,0.8063026048601124,7.274134550967263e-05,7,7,7
75,0.7115063305291821,0.0002596506660035966,7,8,8
76,0.7105831731269979,0.00022691895280614114,8,7,7
77,0.712618950194323,0.00016170733856634347,8,8,8
78,0.8045542867371387,6.492796678791571e-05,9,7,7
79,0.9032581062000209,9.799077543916419e-05,9,8,8
