,l,ls,epi,smt,para
0,0.46172756532471526,0.00025036309163794856,0,1,1
1,0.4358994537768556,0.00040838638142202906,0,1,2
2,0.42763396673958676,0.00036459835233072617,0,1,3
3,0.4469791438679696,0.00023109896776661945,0,2,1
4,0.4263453203078257,0.00023216671425961826,0,2,2
5,0.442714906640948,0.00028554971238437156,0,3,1
6,0.406870380341859,0.0003262845398586156,0,3,2
7,0.441915907865544,0.00030201965499454064,0,4,1
8,0.40836180500441344,0.00034769842283144517,0,4,2
9,0.4428458538238089,0.0002533352084028386,0,5,1
10,0.4274290035696774,0.0003274289599461931,0,6,1
11,0.4428458538238089,0.0002533352084028386,0,7,1
