,l,ls,epi,smt,para
0,0.44078781628413594,0.00013774965163360325,0,1,1
1,0.42445259933115187,0.00011391149769493912,0,1,2
2,0.4192668263597183,0.00017110595017752006,0,1,3
3,0.41440276461903486,0.0001098576577144919,0,1,4
4,0.40686158984522636,0.00014562819335563873,0,1,5
5,0.4083865252863888,9.926102994717568e-05,0,1,6
6,0.41928801974456165,0.00024858549540636427,0,1,7
7,0.4066948894433108,0.00013727774327692945,0,1,8
8,0.4052180275542502,0.00016597827090986537,0,1,9
9,0.44148676957353294,0.0001617373027334157,0,2,1
10,0.4237135588525613,0.000260995269245376,0,2,2
11,0.41268234160505163,0.00022954332810137722,0,2,3
12,0.4137493764650454,0.0001602009397748991,0,2,4
13,0.3980821027755254,0.00022033695572483002,0,2,5
14,0.40183148807290814,0.0001676860267954727,0,2,6
15,0.40220793350927236,0.00016250929939691823,0,2,7
16,0.3998986529841248,0.00020272172445388542,0,2,8
17,0.428323724066565,0.0001979466781127277,0,3,1
18,0.4248910218889437,0.00031456137220934075,0,3,2
19,0.41556219806839784,9.348823408296183e-05,0,3,3
20,0.40927091754713424,8.837360442594305e-05,0,3,4
21,0.39297123366199777,0.00022233141274692532,0,3,5
22,0.4022346084332648,0.00026652166765847395,0,3,6
23,0.40839571623738924,9.73849050071854e-05,0,3,7
24,0.4500791869421388,0.00015112545423870432,1,1,1
25,0.4261450170388476,0.0001544098441630248,1,1,2
26,0.41415936257093566,0.00027689852617894425,1,1,3
27,0.4160750981724084,0.000245018967756044,1,1,4
28,0.4121964199798008,0.00022887611170946138,1,1,5
29,0.40112829250789206,0.00025680634427440986,1,1,6
30,0.40543234608826084,0.00020946708940185486,1,1,7
31,0.40617806178653604,0.0002119292172905325,1,1,8
32,0.4023034359079141,0.00018298643261148887,1,1,9
33,0.4416889821767733,0.00011916056098184117,1,2,1
34,0.4199719743228818,0.00018998441785420933,1,2,2
35,0.40568282281842605,0.00010055145351791549,1,2,3
36,0.40003957048811595,0.0002020001885880206,1,2,4
37,0.39547404587627144,0.0002120473512794362,1,2,5
38,0.40151876476338133,0.00019202301596282613,1,2,6
39,0.39401091168054175,0.0002614925848337218,1,2,7
40,0.4089728294123586,0.00019121540022705734,1,2,8
41,0.43133844486790834,0.00027850178772319186,1,3,1
42,0.4182514415168091,0.0004114226525299785,1,3,2
43,0.4189277712490557,0.00021196421258984696,1,3,3
44,0.3974008736211451,0.0002700790715355272,1,3,4
45,0.39945185472554057,0.00021434376022498914,1,3,5
46,0.40585728003223825,0.0001277129614392506,1,3,6
47,0.40143688786078985,0.0002593289579216662,1,3,7
48,0.44634567246155366,0.00019788488854497239,2,1,1
49,0.4195872109489407,0.00020218820705511647,2,1,2
50,0.41770309586830157,0.00020273176039501886,2,1,3
51,0.40706741931803925,0.00016131412395749606,2,1,4
52,0.4039232689389676,0.00018522538584570396,2,1,5
53,0.417192919384703,0.0003687207126070372,2,1,6
54,0.4114525610041819,0.00021442223967522596,2,1,7
55,0.410134141108311,0.0002522812325535135,2,1,8
56,0.4071087226657329,0.00014468080220016966,2,1,9
57,0.4393484352933618,0.00025122837014920365,2,2,1
58,0.4184397727140387,0.0003650585341072026,2,2,2
59,0.4131284853227743,0.00025320844553484447,2,2,3
60,0.4097174543131136,0.00013718647568598206,2,2,4
61,0.3991254467688625,0.00019231470851779255,2,2,5
62,0.4075271612933762,0.00025620229119854436,2,2,6
63,0.4010101256659394,0.00018288823159410094,2,2,7
64,0.4024304131979338,0.00032477873696223463,2,2,8
65,0.43552338820798536,0.00024165128047376076,2,3,1
66,0.40978733766502135,0.00012393831027126385,2,3,2
67,0.41501413205328835,0.00012374123642704428,2,3,3
68,0.40325733876177644,0.000128845662881549,2,3,4
69,0.40698917347809277,0.00015786591792357808,2,3,5
70,0.39386398809946893,0.0002867839368728878,2,3,6
71,0.4036835471615476,0.00014594034467636615,2,3,7
72,0.4504682102645843,0.0001473776748859602,3,1,1
73,0.427533459693436,0.00013888235637765265,3,1,2
74,0.41729089111214485,0.0003690018014621742,3,1,3
75,0.4139373692793968,0.00023395311140971518,3,1,4
76,0.4161786822287129,0.00031528769022363,3,1,5
77,0.40995834224902095,0.0002538015930868497,3,1,6
78,0.40978654691756955,0.00015827669044155156,3,1,7
79,0.4175058056901205,0.00017509936518343903,3,1,8
80,0.40463355501333287,0.00014562086686262701,3,1,9
81,0.4365181097309431,9.589792351900084e-05,3,2,1
82,0.4203548539371217,0.0003175980697419447,3,2,2
83,0.41020069217029004,0.00019897822325110013,3,2,3
84,0.4098141435738847,0.00023172560277177282,3,2,4
85,0.40569337113349535,0.0002469631712190254,3,2,5
86,0.4006868270882966,8.563533032006933e-05,3,2,6
87,0.4055908861566933,9.721358643396778e-05,3,2,7
88,0.40911437248131416,0.0002657292849072529,3,2,8
89,0.43682430152070206,0.0002474414372272914,3,3,1
90,0.4074665022429616,0.00012339215615729144,3,3,2
91,0.4112882373012122,0.0002960999388416099,3,3,3
92,0.40465893239069123,0.00029509720614524754,3,3,4
93,0.4006580254616035,0.00012519232307162424,3,3,5
94,0.40369125680613205,0.00034411848797166343,3,3,6
95,0.40025139156995826,0.0003973389557242875,3,3,7
96,0.44544377090322873,0.00017519834872506713,4,1,1
97,0.4230577763688842,0.0002288230535340844,4,1,2
98,0.41924287050755243,0.0002740125366175197,4,1,3
99,0.41018185393196094,0.00027730806418652066,4,1,4
100,0.41218595392230417,0.0004397947751526308,4,1,5
101,0.4178142200828295,0.00014474693223465797,4,1,6
