,l,ls,epi,smt,para,i
0,0.440787816284136,0.00013774965163360325,0,1,1,11
1,0.4244525993311519,0.00011391149769493911,0,2,2,12
2,0.4192668263597183,0.00017110595017752006,0,3,3,13
3,0.4144027646190349,0.00010985765771449192,0,4,4,14
4,0.4068615898452264,0.00014562819335563873,0,5,5,15
5,0.4083865252863888,9.926102994717568e-05,0,6,6,16
6,0.4192880197445617,0.00024858549540636427,0,7,7,17
7,0.4066948894433108,0.00013727774327692945,0,8,8,18
8,0.4052180275542502,0.00016597827090986534,0,9,9,19
9,0.44148676957353294,0.0001617373027334157,0,10,1,21
10,0.4237135588525613,0.00026099526924537597,0,11,2,22
11,0.4126823416050516,0.0002295433281013772,0,12,3,23
12,0.4137493764650454,0.00016020093977489909,0,13,4,24
13,0.3980821027755254,0.00022033695572483,0,14,5,25
14,0.40183148807290814,0.00016768602679547267,0,15,6,26
15,0.4022079335092724,0.00016250929939691823,0,16,7,27
16,0.3998986529841248,0.00020272172445388544,0,17,8,28
17,0.42832372406656505,0.00019794667811272768,0,18,1,31
18,0.4248910218889437,0.00031456137220934075,0,19,2,32
19,0.4155621980683977,9.348823408296185e-05,0,20,3,33
20,0.40927091754713424,8.837360442594305e-05,0,21,4,34
21,0.39297123366199777,0.0002223314127469253,0,22,5,35
22,0.4022346084332648,0.00026652166765847395,0,23,6,36
23,0.4083957162373893,9.73849050071854e-05,0,24,7,37
24,0.4500791869421388,0.00015112545423870432,1,1,1,11
25,0.4261450170388476,0.0001544098441630248,1,2,2,12
26,0.4141593625709357,0.00027689852617894425,1,3,3,13
27,0.4160750981724084,0.000245018967756044,1,4,4,14
28,0.4121964199798008,0.00022887611170946138,1,5,5,15
29,0.4011282925078921,0.00025680634427440986,1,6,6,16
30,0.4054323460882608,0.0002094670894018549,1,7,7,17
31,0.406178061786536,0.0002119292172905325,1,8,8,18
32,0.4023034359079141,0.0001829864326114889,1,9,9,19
33,0.4416889821767733,0.00011916056098184116,1,10,1,21
34,0.4199719743228818,0.00018998441785420933,1,11,2,22
35,0.4056828228184261,0.00010055145351791548,1,12,3,23
36,0.400039570488116,0.0002020001885880206,1,13,4,24
37,0.3954740458762713,0.0002120473512794362,1,14,5,25
38,0.4015187647633813,0.00019202301596282613,1,15,6,26
39,0.39401091168054175,0.0002614925848337218,1,16,7,27
40,0.4089728294123586,0.0001912154002270573,1,17,8,28
41,0.4313384448679083,0.00027850178772319186,1,18,1,31
42,0.4182514415168091,0.0004114226525299785,1,19,2,32
43,0.4189277712490557,0.00021196421258984694,1,20,3,33
44,0.3974008736211451,0.0002700790715355272,1,21,4,34
45,0.39945185472554057,0.00021434376022498922,1,22,5,35
46,0.4058572800322383,0.00012771296143925057,1,23,6,36
47,0.40143688786078985,0.0002593289579216662,1,24,7,37
48,0.4463456724615537,0.0001978848885449724,2,1,1,11
49,0.4195872109489407,0.00020218820705511647,2,2,2,12
50,0.4177030958683016,0.00020273176039501886,2,3,3,13
51,0.4070674193180393,0.00016131412395749606,2,4,4,14
52,0.4039232689389676,0.000185225385845704,2,5,5,15
53,0.417192919384703,0.0003687207126070372,2,6,6,16
54,0.4114525610041819,0.000214422239675226,2,7,7,17
55,0.41013414110831103,0.0002522812325535135,2,8,8,18
56,0.4071087226657329,0.00014468080220016966,2,9,9,19
57,0.4393484352933618,0.00025122837014920365,2,10,1,21
58,0.4184397727140387,0.0003650585341072026,2,11,2,22
59,0.4131284853227743,0.00025320844553484447,2,12,3,23
60,0.4097174543131136,0.00013718647568598206,2,13,4,24
61,0.3991254467688625,0.0001923147085177925,2,14,5,25
62,0.4075271612933762,0.00025620229119854436,2,15,6,26
63,0.4010101256659394,0.00018288823159410094,2,16,7,27
64,0.4024304131979338,0.00032477873696223463,2,17,8,28
65,0.43552338820798536,0.0002416512804737608,2,18,1,31
66,0.40978733766502135,0.00012393831027126385,2,19,2,32
67,0.4150141320532884,0.00012374123642704428,2,20,3,33
68,0.4032573387617765,0.00012884566288154899,2,21,4,34
69,0.4069891734780928,0.00015786591792357808,2,22,5,35
70,0.3938639880994689,0.0002867839368728878,2,23,6,36
71,0.4036835471615476,0.00014594034467636617,2,24,7,37
72,0.4504682102645843,0.00014737767488596018,3,1,1,11
73,0.42753345969343604,0.00013888235637765262,3,2,2,12
