,l,ls,epi,smt,para
0,0.5633855301996773,5.109853527490497e-05,0,1,1
1,0.5071577697837854,0.00010539562565389526,0,1,2
2,0.4869745628849226,4.812249199420482e-05,0,1,3
3,0.48276373568692404,0.00010028383352268605,0,1,4
4,0.4702261803333195,7.791739061574675e-05,0,1,5
5,0.46373683804226473,5.037649446430215e-05,0,1,6
6,0.46234704871441407,5.082477615270621e-05,0,1,7
7,0.4589920783429777,0.00010369498981874002,0,1,8
8,0.45752870976602616,2.806999781433879e-05,0,1,9
9,0.5358377661996007,0.00017677259104703177,0,2,1
10,0.4787207376651287,4.944310790563638e-05,0,2,2
11,0.45402289350090413,2.8519995854864425e-05,0,2,3
12,0.4439266003946406,8.198544581455198e-05,0,2,4
13,0.433479321829539,9.638482750479885e-05,0,2,5
14,0.43002900979379743,0.00010376996729303434,0,2,6
15,0.4249995630941578,5.61811094633963e-05,0,2,7
16,0.41939702122924133,8.075101017148908e-05,0,2,8
17,0.5294280773997637,4.7002631856431585e-05,0,3,1
18,0.47496935102974,4.993743892818242e-05,0,3,2
19,0.4527126701695189,6.247160555494418e-05,0,3,3
20,0.44026087066213243,0.00010228484265287792,0,3,4
21,0.43032436309147315,6.290087832713123e-05,0,3,5
22,0.42566408388253385,4.957034675719285e-05,0,3,6
23,0.4217095782194699,0.00010005380663833757,0,3,7
24,0.5632314912446609,5.380788740259379e-05,1,1,1
25,0.5128748666406715,9.182462190321464e-05,1,1,2
26,0.49062333881143866,5.383598966655966e-05,1,1,3
27,0.47734158730582704,0.00010165854260904485,1,1,4
28,0.47226087930858485,0.00014110933369909846,1,1,5
29,0.4679958831489844,7.824200848340642e-05,1,1,6
30,0.4629146345565637,8.980531928743011e-05,1,1,7
31,0.46151602318030066,4.628351155211697e-05,1,1,8
32,0.45655130344308786,7.026868807856328e-05,1,1,9
33,0.5365283273516063,8.69556202733491e-05,1,2,1
34,0.479747599049468,5.3647538467946416e-05,1,2,2
35,0.4579021445032926,7.928661800240828e-05,1,2,3
36,0.44258306329072766,6.640471972693352e-05,1,2,4
37,0.43543897014211375,3.686013637041152e-05,1,2,5
38,0.4299749029431324,8.547774786699535e-05,1,2,6
39,0.42532983872847396,0.00010533085702035691,1,2,7
40,0.4243945042126584,5.165413230895482e-05,1,2,8
41,0.529725892876709,0.00011293149770350454,1,3,1
42,0.4751174399593664,7.446069791888646e-05,1,3,2
43,0.4482365316841085,9.344077622192816e-05,1,3,3
44,0.4387908712609776,4.965386406536149e-05,1,3,4
45,0.43315716988310643,5.100680593966942e-05,1,3,5
46,0.42561737630962376,6.680964719774283e-05,1,3,6
47,0.42239942649435064,0.00012805647854759476,1,3,7
48,0.5607864528487583,5.148249431559673e-05,2,1,1
49,0.5118848245378061,8.90655084333319e-05,2,1,2
50,0.490685169772471,4.996712354026022e-05,2,1,3
51,0.4812485167968874,6.76896195664365e-05,2,1,4
52,0.46834733113466576,8.117406319427184e-05,2,1,5
53,0.4658875659169385,6.32794725917951e-05,2,1,6
54,0.46405916375957096,7.150303768711311e-05,2,1,7
55,0.46251856769907157,7.99360824341762e-05,2,1,8
56,0.4584165071407672,6.040908288206078e-05,2,1,9
57,0.5344541084163781,8.355998823116199e-05,2,2,1
58,0.48135061177106486,5.7354672637839043e-05,2,2,2
59,0.459462138053286,4.7955546777506875e-05,2,2,3
60,0.44378227817359084,7.980617401734535e-05,2,2,4
61,0.43448759680841853,6.597564301227623e-05,2,2,5
62,0.4290361979063243,0.00013354580738232855,2,2,6
63,0.42533966384215605,9.746059086535628e-05,2,2,7
64,0.420457450909272,7.159074421491387e-05,2,2,8
65,0.5335333540284369,5.5710974166376154e-05,2,3,1
66,0.4756719950107573,7.16236036942314e-05,2,3,2
67,0.4546827796675592,7.001785020595676e-05,2,3,3
68,0.4403736426573797,6.226481452178963e-05,2,3,4
69,0.42695013138761134,5.6000436429903466e-05,2,3,5
70,0.42581213929360395,0.00012379152931296203,2,3,6
71,0.42051810252144795,7.147886568349854e-05,2,3,7
72,0.5625294873909712,6.515298976515798e-05,3,1,1
73,0.5088782673640464,9.418523389011575e-05,3,1,2
