,l,ls,epi,smt,para
0,,,0,1,1
1,,,0,1,2
2,,,0,1,3
3,,,0,1,4
4,,,0,1,5
5,,,0,1,6
6,,,0,1,7
7,,,0,1,8
8,,,0,1,9
9,,,0,1,10
10,,,0,1,11
11,,,0,2,1
12,,,0,2,2
13,,,0,2,3
14,,,0,2,4
15,,,0,2,5
16,,,0,2,6
17,,,0,2,7
18,,,0,2,8
19,,,0,2,9
20,,,0,2,10
21,,,0,3,1
22,,,0,3,2
23,,,0,3,3
24,,,0,3,4
25,,,0,3,5
26,,,0,3,6
27,,,0,3,7
28,,,0,3,8
29,,,0,3,9
30,,,1,1,1
31,,,1,1,2
32,,,1,1,3
33,,,1,1,4
34,,,1,1,5
35,,,1,1,6
36,,,1,1,7
37,,,1,1,8
38,,,1,1,9
39,,,1,1,10
40,,,1,1,11
41,,,1,2,1
42,,,1,2,2
43,,,1,2,3
44,,,1,2,4
45,,,1,2,5
46,,,1,2,6
47,,,1,2,7
48,,,1,2,8
49,,,1,2,9
50,,,1,2,10
51,,,1,3,1
52,,,1,3,2
53,,,1,3,3
54,,,1,3,4
55,,,1,3,5
56,,,1,3,6
57,,,1,3,7
58,,,1,3,8
59,,,1,3,9
60,,,2,1,1
61,,,2,1,2
62,,,2,1,3
63,,,2,1,4
64,,,2,1,5
65,,,2,1,6
66,,,2,1,7
67,,,2,1,8
68,,,2,1,9
69,,,2,1,10
70,,,2,1,11
71,,,2,2,1
72,,,2,2,2
73,,,2,2,3
74,,,2,2,4
75,,,2,2,5
76,,,2,2,6
77,,,2,2,7
78,,,2,2,8
79,,,2,2,9
80,,,2,2,10
81,,,2,3,1
82,,,2,3,2
83,,,2,3,3
84,,,2,3,4
85,,,2,3,5
86,,,2,3,6
87,,,2,3,7
88,,,2,3,8
89,,,2,3,9
90,,,3,1,1
91,,,3,1,2
92,,,3,1,3
93,,,3,1,4
94,,,3,1,5
95,,,3,1,6
96,,,3,1,7
97,,,3,1,8
