,l,ls,epi,smt,para
0,0.9706766018871997,5.974911289673604e-05,0,1,1
1,0.9704791211317123,0.00011539553428415553,0,1,2
2,0.9700941480265761,0.00011194080297416008,0,1,3
3,0.9700582924438449,8.495863305107995e-05,0,1,4
4,0.970484915033172,5.348086088272915e-05,0,1,5
5,0.9717946956902138,0.00016221434421372807,0,1,6
6,0.970353033403531,8.766927773619501e-05,0,1,7
7,0.9701973677613898,0.00016802747512739778,0,1,8
8,0.9699592422868876,0.00010080904591556855,0,1,9
9,0.9428670506806583,8.850586262536579e-05,0,2,1
10,0.9424950933611059,0.0001080866870947006,0,2,2
11,0.9425705749702492,0.00014263544121119324,0,2,3
12,0.9430857874573674,0.00011310474677989242,0,2,4
13,0.9424789191331304,0.00010888694345997359,0,2,5
14,0.9420288613978899,6.623227409629973e-05,0,2,6
15,0.9424058676417408,0.00011798946229485902,0,2,7
16,0.9420772942712141,6.793894050994359e-05,0,2,8
17,0.9119166200788924,0.00010752037566051153,0,3,1
18,0.9146335582871784,8.079699699239553e-05,0,3,2
19,0.9137156560406392,0.00012425225638308866,0,3,3
20,0.9138999700363506,0.0002123428630255653,0,3,4
21,0.9145741420992473,0.00026009752664590645,0,3,5
22,0.9147345558492789,7.894945996929297e-05,0,3,6
23,0.9185996873942688,4.923975259395491e-05,0,3,7
24,0.9707919065072892,5.672386137073208e-05,1,1,1
25,0.9704851514554437,6.120260082472603e-05,1,1,2
26,0.9696419428463405,6.515081971949986e-05,1,1,3
27,0.9709862744925571,0.0001893034836433473,1,1,4
28,0.970375904836208,0.00016459300511155876,1,1,5
29,0.9708156240054402,0.00020497982045126247,1,1,6
30,0.9712397022403173,0.00015061303189390211,1,1,7
31,0.9694614229593324,5.052433995115846e-05,1,1,8
32,0.9702413376278662,0.00016069519364735117,1,1,9
33,0.9436175599819671,0.0002376407491378192,1,2,1
34,0.9420683886080685,0.00030554907106063173,1,2,2
35,0.9430961983296348,8.828890965513117e-05,1,2,3
36,0.9415573782981277,4.695258888114154e-05,1,2,4
37,0.9424074282211651,0.00021120791319302555,1,2,5
38,0.9426275223381804,0.00020234093427806538,1,2,6
39,0.9418628825512068,0.0002088823092337787,1,2,7
40,0.9421986366587352,0.00017365707269367727,1,2,8
41,0.9169552830270901,0.0002923136147222781,1,3,1
42,0.9128099500246593,0.00012586261298508657,1,3,2
43,0.912938381268482,0.00017185247266273247,1,3,3
44,0.9154385849523923,0.00018203871282269657,1,3,4
45,0.914165924068844,7.490794544042088e-05,1,3,5
46,0.9148338492349214,8.875735790665766e-05,1,3,6
47,0.914140090589169,0.0001748151839280071,1,3,7
48,0.9712972450435382,8.141460278531812e-05,2,1,1
49,0.9706313645227923,0.0001025792612421004,2,1,2
50,0.9702720906510833,5.15685135548264e-05,2,1,3
51,0.9720430341952903,9.042679227707719e-05,2,1,4
52,0.9708058422481419,6.064383711433121e-05,2,1,5
53,0.970837496319839,0.00012041854311372191,2,1,6
54,0.9702418861216277,0.000108042974962302,2,1,7
55,0.9706316756768187,0.00022921285313154088,2,1,8
56,0.9694493957275754,4.3729430773120057e-05,2,1,9
57,0.9425316459711673,0.0001932112674214834,2,2,1
58,0.9420301874422291,8.50842915512482e-05,2,2,2
59,0.9428264677306122,0.0002483107269866336,2,2,3
60,0.9416766767238444,7.453904333449315e-05,2,2,4
61,0.9444380030388093,0.0002500342832087805,2,2,5
62,0.9417304597069085,6.975492231704199e-05,2,2,6
63,0.9446732644504874,0.00015734756146785784,2,2,7
64,0.9450743357749744,9.397179170391668e-05,2,2,8
65,0.913414964301458,0.00012017957478804815,2,3,1
66,0.9131954384908842,0.0001330808287279224,2,3,2
67,0.9139135852477199,0.0002792256157946025,2,3,3
68,0.9135197492773802,0.00024323103476243008,2,3,4
69,0.912483434091,7.700242919717076e-05,2,3,5
70,0.9156387564035148,8.770417240339458e-05,2,3,6
71,0.9156351982211517,0.00018292176776705293,2,3,7
72,0.9710608819508817,0.00017192168327372133,3,1,1
73,0.9709183845991104,0.00013669481805771315,3,1,2
74,0.9698500377334508,0.00011366893587007552,3,1,3
75,0.9701231126880189,5.044818541694115e-05,3,1,4
76,0.9699682358960148,0.00012077662818743052,3,1,5
77,0.9730720914876297,6.811545430625715e-05,3,1,6
78,0.9721391170994546,7.252992619013324e-05,3,1,7
79,0.970880204400649,0.0001276904971444864,3,1,8
80,0.9700921552791131,9.457067217117322e-05,3,1,9
81,0.9401250430965576,0.00013430632615275348,3,2,1
82,0.9423504784191088,0.00011089666337714962,3,2,2
83,0.9421020896107906,0.00010536154353575533,3,2,3
84,0.9425903385318135,0.00017204740140078662,3,2,4
85,0.9434173853276389,0.00017871464809621874,3,2,5
86,0.9420318730512742,0.0002590330805553254,3,2,6
87,0.9425077624095862,0.0001640289890187256,3,2,7
88,0.9440575014386601,0.00015339978154320428,3,2,8
89,0.9168383569323225,0.0002370285012069563,3,3,1
90,0.9139794353895827,0.00014363799919758224,3,3,2
