,0,1,2,3
0,"[0.9908516646325661, 7.450168602273315e-07, 0.43063566737491704, 1.8935132424844372e-05, 0.2910937902346769, 6.541313230630493e-05]",1,9,0
1,"[0.09804276312945168, 2.5001613197740038e-05, 0.7480070582841855, 1.1919100934647868e-05, 1.0, 0.0]",1,9,1
2,"[0.98967984721987, 1.8530387247663774e-06, 0.44328132485856825, 1.737363303846891e-05, 0.29320034870952993, 4.5559203378589586e-05]",1,9,2
3,"[0.0987264340268905, 9.660562266716272e-06, 0.7460365017591969, 2.4589477809008875e-05, 0.6528111917757057, 0.0]",1,9,3
4,"[0.09699752006324816, 4.470312357571279e-05, 0.7488210599345642, 2.1405192364538726e-05, 0.960698857122921, 2.220446049250313e-16]",1,9,4
5,"[0.9909373065779175, 9.812232130358276e-07, 0.43740839133541765, 3.1340931754803536e-05, 0.29205220247652963, 9.76077386527633e-05]",1,9,5
6,"[0.09849121775283581, 3.396576574871016e-05, 0.7461329698408168, 2.540865221497915e-05, 1.0, 0.0]",1,9,6
7,"[0.3945089027422275, 7.514379821528582e-05, 0.49415493152022916, 6.022554498380575e-05, 0.928948469282668, 3.3306690738754696e-16]",1,9,7
8,"[0.09854077460498316, 8.956839410218324e-06, 0.7470293896812872, 1.3171585255255862e-05, 0.8500149337561106, 0.0]",1,9,8
9,"[0.095277484248755, 1.8537611200607807e-05, 0.75262372029843, 1.6012358207008328e-05, 0.9119491617408709, 2.220446049250313e-16]",1,9,9
10,"[0.9908124408569717, 9.25837321040064e-07, 0.42697697391510336, 2.5187933900697316e-05, 0.2910549920706385, 6.830781419815339e-05]",1,9,10
11,"[0.38884457122017163, 9.097986653659623e-05, 0.4964189679669997, 2.4322398803031894e-05, 0.8477823428341794, 1.1102230246251565e-16]",1,9,11
12,"[0.09723195099076046, 5.591629513591901e-05, 0.7508285669428617, 1.4536104485797767e-05, 1.0, 0.0]",1,9,12
13,"[0.3717510839181757, 6.78074239740394e-05, 0.49873853688874603, 1.8863815455758615e-05, 0.3694367354102105, 5.551115123125783e-17]",1,9,13
14,"[0.09755815521807427, 5.985113901945635e-05, 0.7479648288412605, 2.0600723746928412e-05, 1.0, 0.0]",1,9,14
15,"[0.09854564783382375, 1.3772341171299431e-05, 0.7480921052945646, 2.476190937952419e-05, 1.0, 0.0]",1,9,15
16,"[0.09796229819855257, 1.8815314376811644e-05, 0.7485392154752558, 1.2448522692290512e-05, 1.0, 0.0]",1,9,16
17,"[0.3715291753142084, 5.0749781397695346e-05, 0.5003141004453864, 4.325479486464342e-05, 1.0, 0.0]",1,9,17
18,"[0.09911740271128522, 1.7635272156080044e-05, 0.7438684309390378, 1.4911937393483164e-05, 1.0, 0.0]",1,9,18
19,"[0.9904412329182257, 1.951116182017862e-06, 0.4391147566627125, 2.6907926215937346e-05, 0.29259091479907284, 7.573076720275302e-05]",1,9,19
20,"[0.3722007468508826, 3.212013624578902e-05, 0.4985570514080892, 1.1451728449079302e-05, 1.0, 0.0]",1,9,20
21,"[0.09818891128471643, 1.8354999736163023e-05, 0.7476541318731201, 1.9642380294820746e-05, 1.0, 0.0]",1,9,21
22,"[0.9908778587063362, 3.340240822516615e-06, 0.43433242171523184, 0.0001161027516196562, 0.2941756021639244, 8.434449909713633e-05]",1,9,22
23,"[0.09992462461023649, 2.5312649673750758e-05, 0.7437078091313791, 4.378377058557258e-05, 1.0, 0.0]",1,9,23
24,"[0.09551781057468693, 4.8925873722643494e-05, 0.751551021916045, 3.1851045843334e-05, 0.9755283531666801, 3.3306690738754696e-16]",1,9,24
25,"[0.3620108228630679, 0.00012396517928634174, 0.5027270246088045, 2.7390415525337256e-05, 0.7185709068663562, 2.220446049250313e-16]",1,9,25
26,"[0.0964729348247374, 1.81392869661068e-05, 0.7521707779892688, 3.414992394739748e-05, 0.4686942935728845, 0.0]",1,9,26
27,"[0.9908074640570078, 1.0395888266187342e-06, 0.42871051210243355, 1.6534799035590017e-05, 0.2874386213266257, 5.384864758800764e-05]",1,9,27
28,"[0.9908796715340505, 2.1333322691881146e-06, 0.43206207295968885, 3.034142470034306e-05, 0.2894995541990567, 0.00017597705865118624]",1,9,28
29,"[0.990815558622273, 1.285962798848374e-06, 0.42514249402638976, 4.9258727727673906e-05, 0.2934991179800035, 7.986682249107523e-05]",1,9,29
30,"[0.3737393677184401, 0.00017478817425763623, 0.5021844681697738, 1.5483541473087878e-05, 0.90900662279253, 3.3306690738754696e-16]",1,9,30
31,"[0.9909448566676297, 1.9004919902316616e-06, 0.4396445745932915, 4.8756514178528434e-05, 0.2961898878016448, 0.00014290190438164013]",1,9,31
32,"[0.09650609157991179, 3.630377561844851e-05, 0.7480255186909449, 1.740499694086821e-05, 0.4595085599924652, 5.551115123125783e-17]",1,9,32
33,"[0.09753522881044813, 2.411100346735214e-05, 0.747846283466053, 4.276685764821738e-05, 0.5761793879180487, 1.1102230246251565e-16]",1,9,33
34,"[0.0973633324693492, 1.8322264850673824e-05, 0.7492124274026088, 3.560182988148319e-05, 0.8671012810722143, 0.0]",1,9,34
35,"[0.09719902623642346, 2.4472896510053398e-05, 0.7488200066126437, 1.5040074857799048e-05, 0.17097450353323934, 2.7755575615628914e-17]",1,9,35
36,"[0.09814429179075909, 4.169333616759361e-05, 0.7496106999812499, 4.390944276833214e-05, 0.676369418648066, 1.1102230246251565e-16]",1,9,36
37,"[0.09955825388678624, 3.1522711983910204e-05, 0.7439766809462435, 2.034493855772516e-05, 1.0, 0.0]",1,9,37
38,"[0.3819913186648422, 2.4451809108016992e-05, 0.4939320247739109, 1.982888801276482e-05, 0.9422412444802079, 2.220446049250313e-16]",1,9,38
39,"[0.9906128109735691, 6.000097466610939e-07, 0.4341590845755182, 1.4757574330841203e-05, 0.2894734329168582, 3.6310989260371194e-05]",1,9,39
40,"[0.09733811439669109, 1.2661530052019796e-05, 0.7498457899049792, 1.8560283474162677e-05, 1.0, 0.0]",1,9,40
41,"[0.990730937379871, 1.2778683768948453e-06, 0.4366227919165629, 1.4431637604957655e-05, 0.29574300190762765, 3.808438890113997e-05]",1,9,41
42,"[0.9908073310348582, 1.196126215834393e-06, 0.4292059621593019, 2.6801135602906955e-05, 0.28941270600453856, 5.368749909313497e-05]",1,9,42
43,"[0.37574213543455937, 4.1525948668294494e-05, 0.49943327008858074, 1.932887116116805e-05, 1.0, 0.0]",1,9,43
44,"[0.09782700465012038, 1.4615315292132878e-05, 0.7464218850611827, 3.8656142900044605e-05, 1.0, 0.0]",1,9,44
45,"[0.09618620373240015, 6.50934176692969e-05, 0.7529252833160486, 2.0673369025880407e-05, 0.8493410855307104, 0.0]",1,9,45
46,"[0.9896992937118089, 1.7324384833969248e-06, 0.4234300090750527, 1.5682322416193187e-05, 0.2869615909444923, 5.248676772553102e-05]",1,9,46
47,"[0.09691670081012449, 2.1641395922864462e-05, 0.7476668011810556, 2.6570770548213284e-05, 0.28919151519056413, 0.0]",1,9,47
48,"[0.09644160080175482, 1.71112298285624e-05, 0.7499160631020169, 2.32597187331155e-05, 0.9526291533040179, 2.220446049250313e-16]",1,9,48
49,"[0.9908961429421372, 2.8374535140119953e-06, 0.432042758815012, 2.6739602811719926e-05, 0.29297897111141036, 9.018040747322102e-05]",1,9,49
50,"[0.987390769904473, 7.941701736193758e-07, 0.42990868206970956, 3.37507187925115e-05, 0.1711756155281856, 5.764588284634082e-05]",2,8,0
51,"[0.37130754945058553, 0.00012358432939011855, 0.5007909411809939, 3.984790862086366e-05, 0.8184585621924136, 3.3306690738754696e-16]",2,8,1
52,"[0.37788074707341346, 0.0001928001920995633, 0.4988041151626409, 1.4290045719435579e-05, 0.1807535209531572, 0.0]",2,8,2
53,"[0.9874751279759227, 1.3495825792960077e-06, 0.43483700788834284, 4.850504255494518e-05, 0.17403763038482906, 5.375450906843193e-05]",2,8,3
54,"[0.3759732111124737, 0.0001234990262035597, 0.5010550276173346, 2.2937974128364918e-05, 0.9385547076450994, 5.551115123125783e-16]",2,8,4
55,"[0.9874031671245226, 1.1973732765442466e-06, 0.43082689300692456, 4.270165309767049e-05, 0.17243408246845918, 7.99283667795426e-05]",2,8,5
56,"[0.9874550314302336, 2.248742487168162e-06, 0.4297987963901312, 1.4743581147116547e-05, 0.1741237627121626, 0.00012067482143773057]",2,8,6
57,"[0.9876136403127833, 1.0448196378759506e-06, 0.4360060077207164, 5.5647096370536806e-05, 0.17901440105683572, 5.27572115276605e-05]",2,8,7
58,"[0.987332253441158, 1.3078484419227703e-06, 0.4287837653430143, 1.9745114561430964e-05, 0.1737067054788518, 6.395606912339509e-05]",2,8,8
59,"[0.987386988635716, 1.729057555982923e-06, 0.4279522519332151, 2.1238586586855422e-05, 0.17383291709862297, 5.010068544415886e-05]",2,8,9
60,"[0.9875471983199484, 1.4332521385788536e-06, 0.43461384362733646, 4.4311489106719064e-05, 0.17834668863549633, 5.297693542031425e-05]",2,8,10
61,"[0.9873274518798171, 1.3225107748219019e-06, 0.4223459783843743, 3.2449385357068914e-05, 0.16989404929791077, 5.0369176137180096e-05]",2,8,11
62,"[0.9873569622966581, 6.550158982718754e-07, 0.42848557751577643, 7.437079966771743e-05, 0.17209563039578632, 3.216081607887748e-05]",2,8,12
63,"[0.9875991889444036, 1.4053261655331861e-06, 0.4413757426356755, 3.6176167380148825e-05, 0.17751681856342685, 0.00012160039983039775]",2,8,13
64,"[0.9874119673520407, 1.19384001508552e-06, 0.4292555661914325, 1.285035928125979e-05, 0.17563758210286198, 2.995001858578071e-05]",2,8,14
65,"[0.3767556681615218, 3.62212944398686e-05, 0.4986741447814382, 2.894520709795078e-05, 0.6836904882498709, 2.220446049250313e-16]",2,8,15
